hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
I'm not your granddaughter,I'm not your daughter.,Hallucination,i am not your granddaughter,i am not your daughter,['i am not your granddaughter'],['i am not your daughter'],"[['i', 'am', 'not', 'your', 'granddaughter']]","[['i', 'am', 'not', 'your', 'daughter']]"
"Thank you, ralph","Thank you, Ralph.",Not Hallucination,thank you ralph,thank you ralph,['thank you ralph'],['thank you ralph'],"[['thank', 'you', 'ralph']]","[['thank', 'you', 'ralph']]"
"Thanks, Seth.","Thank you, Seth.",Not Hallucination,thanks seth,thank you seth,['thanks seth'],['thank you seth'],"[['thanks', 'seth']]","[['thank', 'you', 'seth']]"
Wh-Where's Simon?,Where's Simon?,Hallucination,whwhere is simon,where is simon,['whwhere is simon'],['where is simon'],"[['whwhere', 'is', 'simon']]","[['where', 'is', 'simon']]"
Where's jasons?,Where's Jason?,Not Hallucination,where is jasons,where is jason,['where is jasons'],['where is jason'],"[['where', 'is', 'jasons']]","[['where', 'is', 'jason']]"
We're explorers..,We're explorers.,Not Hallucination,we are explorers,we are explorers,['we are explorers'],['we are explorers'],"[['we', 'are', 'explorers']]","[['we', 'are', 'explorers']]"
Sixty-minutes.,60 minutes.,Not Hallucination,sixtyminutes,60 minutes,['sixtyminutes'],['60 minutes'],[['sixtyminutes']],"[['60', 'minutes']]"
Tony Vermont.,TONY Vermont.,Not Hallucination,tony vermont,tony vermont,['tony vermont'],['tony vermont'],"[['tony', 'vermont']]","[['tony', 'vermont']]"
"Thanks, Julian.","Thank you, Julian.",Not Hallucination,thanks julian,thank you julian,['thanks julian'],['thank you julian'],"[['thanks', 'julian']]","[['thank', 'you', 'julian']]"
He's beggars.,He's praying.,Hallucination,he is beggars,he is praying,['he is beggars'],['he is praying'],"[['he', 'is', 'beggars']]","[['he', 'is', 'praying']]"
Baggins!,Baggins.,Hallucination,baggins,baggins,['baggins'],['baggins'],[['baggins']],[['baggins']]
Where's thomas?,Where's Thomas?,Not Hallucination,where is thomas,where is thomas,['where is thomas'],['where is thomas'],"[['where', 'is', 'thomas']]","[['where', 'is', 'thomas']]"
estellee.,EsteIIe.,Hallucination,estellee,esteiie,['estellee'],['esteiie'],[['estellee']],[['esteiie']]
"Thank you, morgan.","Thank you, Morgan.",Not Hallucination,thank you morgan,thank you morgan,['thank you morgan'],['thank you morgan'],"[['thank', 'you', 'morgan']]","[['thank', 'you', 'morgan']]"
Where's taylor?,Where's Taylor?,Not Hallucination,where is taylor,where is taylor,['where is taylor'],['where is taylor'],"[['where', 'is', 'taylor']]","[['where', 'is', 'taylor']]"
I don't have a parent here.,I don't have parents.,Not Hallucination,i do not have a parent here,i do not have parents,['i do not have a parent here'],['i do not have parents'],"[['i', 'do', 'not', 'have', 'a', 'parent', 'here']]","[['i', 'do', 'not', 'have', 'parents']]"
"Thanks, casey.","Thank you, Casey.",Not Hallucination,thanks casey,thank you casey,['thanks casey'],['thank you casey'],"[['thanks', 'casey']]","[['thank', 'you', 'casey']]"
My mommy's dying.,My mom's dying.,Not Hallucination,my mommys dying,my moms dying,['my mommys dying'],['my moms dying'],"[['my', 'mommys', 'dying']]","[['my', 'moms', 'dying']]"
I just want to play poker.,I just wanna play.,Hallucination,i just want to play poker,i just want to play,['i just want to play poker'],['i just want to play'],"[['i', 'just', 'want', 'to', 'play', 'poker']]","[['i', 'just', 'want', 'to', 'play']]"
"Thanks, jake.","Thank you, Jake.",Not Hallucination,thanks jake,thank you jake,['thanks jake'],['thank you jake'],"[['thanks', 'jake']]","[['thank', 'you', 'jake']]"
"Thanks, Jones.","Thank you, Jones.",Not Hallucination,thanks jones,thank you jones,['thanks jones'],['thank you jones'],"[['thanks', 'jones']]","[['thank', 'you', 'jones']]"
I'm sanctified.,I'm blessed.,Hallucination,i am sanctified,i am blessed,['i am sanctified'],['i am blessed'],"[['i', 'am', 'sanctified']]","[['i', 'am', 'blessed']]"
Strangled?,Strangle?,Hallucination,strangled,strangle,['strangled'],['strangle'],[['strangled']],[['strangle']]
I have to be dying.,I have to die.,Hallucination,i have to be dying,i have to die,['i have to be dying'],['i have to die'],"[['i', 'have', 'to', 'be', 'dying']]","[['i', 'have', 'to', 'die']]"
Sun's going to come up soon.,Sun's going to come up soon.,Not Hallucination,suns going to come up soon,suns going to come up soon,['suns going to come up soon'],['suns going to come up soon'],"[['suns', 'going', 'to', 'come', 'up', 'soon']]","[['suns', 'going', 'to', 'come', 'up', 'soon']]"
"1,300 feet.",1000 feet.,Hallucination,1300 feet,1000 feet,['1300 feet'],['1000 feet'],"[['1300', 'feet']]","[['1000', 'feet']]"
Thank you for the wine cooler.,Thank you for the wine.,Not Hallucination,thank you for the wine cooler,thank you for the wine,['thank you for the wine cooler'],['thank you for the wine'],"[['thank', 'you', 'for', 'the', 'wine', 'cooler']]","[['thank', 'you', 'for', 'the', 'wine']]"
You're part of me.,You're a part of me.,Not Hallucination,you are part of me,you are a part of me,['you are part of me'],['you are a part of me'],"[['you', 'are', 'part', 'of', 'me']]","[['you', 'are', 'a', 'part', 'of', 'me']]"
It's a treasure map- -,It's a treasure map.,Not Hallucination,it is a treasure map ,it is a treasure map,['it is a treasure map'],['it is a treasure map'],"[['it', 'is', 'a', 'treasure', 'map']]","[['it', 'is', 'a', 'treasure', 'map']]"
"Thankyou, Data.","Thank you, Data.",Not Hallucination,thankyou data,thank you data,['thankyou data'],['thank you data'],"[['thankyou', 'data']]","[['thank', 'you', 'data']]"
"Thanks, Denise.","Thank you, Denise.",Not Hallucination,thanks denise,thank you denise,['thanks denise'],['thank you denise'],"[['thanks', 'denise']]","[['thank', 'you', 'denise']]"
That's a ship-loader.,That's a ship.,Not Hallucination,that is a shiploader,that is a ship,['that is a shiploader'],['that is a ship'],"[['that', 'is', 'a', 'shiploader']]","[['that', 'is', 'a', 'ship']]"
Did I snore-sno?,Did I snore?,Not Hallucination,did i snoresno,did i snore,['did i snoresno'],['did i snore'],"[['did', 'i', 'snoresno']]","[['did', 'i', 'snore']]"
"Thanks, patrick.","Thank you, Patrick.",Not Hallucination,thanks patrick,thank you patrick,['thanks patrick'],['thank you patrick'],"[['thanks', 'patrick']]","[['thank', 'you', 'patrick']]"
"Thank you, jason.","Thank you, Jason.",Not Hallucination,thank you jason,thank you jason,['thank you jason'],['thank you jason'],"[['thank', 'you', 'jason']]","[['thank', 'you', 'jason']]"
It's just a machine.,It's just a machine.,Not Hallucination,it is just a machine,it is just a machine,['it is just a machine'],['it is just a machine'],"[['it', 'is', 'just', 'a', 'machine']]","[['it', 'is', 'just', 'a', 'machine']]"
I want to be normal everyday.,I wanna be normal.,Not Hallucination,i want to be normal everyday,i want to be normal,['i want to be normal everyday'],['i want to be normal'],"[['i', 'want', 'to', 'be', 'normal', 'everyday']]","[['i', 'want', 'to', 'be', 'normal']]"
My name's annae.,My name's Anna.,Not Hallucination,my names annae,my names anna,['my names annae'],['my names anna'],"[['my', 'names', 'annae']]","[['my', 'names', 'anna']]"
"- Hello, Meredith.","Hello, Meredith.",Not Hallucination, hello meredith,hello meredith,[' hello meredith'],['hello meredith'],"[['hello', 'meredith']]","[['hello', 'meredith']]"
"Forty-eight hours, huh?",48 hours?,Not Hallucination,fortyeight hours huh,48 hours,['fortyeight hours huh'],['48 hours'],"[['fortyeight', 'hours', 'huh']]","[['48', 'hours']]"
We've got to trust each other.,We have to trust each other.,Not Hallucination,we have got to trust each other,we have to trust each other,['we have got to trust each other'],['we have to trust each other'],"[['we', 'have', 'got', 'to', 'trust', 'each', 'other']]","[['we', 'have', 'to', 'trust', 'each', 'other']]"
Wh-where is Robert?,Where's Robert?,Not Hallucination,whwhere is robert,where is robert,['whwhere is robert'],['where is robert'],"[['whwhere', 'is', 'robert']]","[['where', 'is', 'robert']]"
 ⁇ glycerin.,Nitroglycerin.,Hallucination,  glycerin,nitroglycerin,['  glycerin'],['nitroglycerin'],[['glycerin']],[['nitroglycerin']]
- We don't bites.,We don't bite.,Hallucination, we do not bites,we do not bite,[' we do not bites'],['we do not bite'],"[['we', 'do', 'not', 'bites']]","[['we', 'do', 'not', 'bite']]"
"Thank you, julie.","Thank you, Julie.",Not Hallucination,thank you julie,thank you julie,['thank you julie'],['thank you julie'],"[['thank', 'you', 'julie']]","[['thank', 'you', 'julie']]"
"Thank you, carol.","Thank you, Carol.",Not Hallucination,thank you carol,thank you carol,['thank you carol'],['thank you carol'],"[['thank', 'you', 'carol']]","[['thank', 'you', 'carol']]"
But I-I've got a plan.,But I've got a plan.,Not Hallucination,but ii have got a plan,but i have got a plan,['but ii have got a plan'],['but i have got a plan'],"[['but', 'ii', 'have', 'got', 'a', 'plan']]","[['but', 'i', 'have', 'got', 'a', 'plan']]"
Seventy-seven-seven.,77.,Not Hallucination,seventysevenseven,77,['seventysevenseven'],['77'],[['seventysevenseven']],[['77']]
She's mute.,She's a mute.,Not Hallucination,she is mute,she is a mute,['she is mute'],['she is a mute'],"[['she', 'is', 'mute']]","[['she', 'is', 'a', 'mute']]"
"- Welcome, Friend.","Welcome, friend.",Not Hallucination, welcome friend,welcome friend,[' welcome friend'],['welcome friend'],"[['welcome', 'friend']]","[['welcome', 'friend']]"
No-one wants me here.,No one wants me.,Not Hallucination,noone wants me here,no one wants me,['noone wants me here'],['no one wants me'],"[['noone', 'wants', 'me', 'here']]","[['no', 'one', 'wants', 'me']]"
"Mars-1, Houston, this is Mars-1.","Mars-1, Houston.",Not Hallucination,mars1 houston this is mars1,mars1 houston,['mars1 houston this is mars1'],['mars1 houston'],"[['mars1', 'houston', 'this', 'is', 'mars1']]","[['mars1', 'houston']]"
"'Thank you, Barney.","Thank you, Barney.",Not Hallucination,thank you barney,thank you barney,['thank you barney'],['thank you barney'],"[['thank', 'you', 'barney']]","[['thank', 'you', 'barney']]"
How's michael?,How's Michael?,Not Hallucination,how is michael,how is michael,['how is michael'],['how is michael'],"[['how', 'is', 'michael']]","[['how', 'is', 'michael']]"
His mommy's dead..,His mother's dead.,Not Hallucination,his mommys dead,his mothers dead,['his mommys dead'],['his mothers dead'],"[['his', 'mommys', 'dead']]","[['his', 'mothers', 'dead']]"
"Hey, can he see us?",Can he see us?,Not Hallucination,hey can he see us,can he see us,['hey can he see us'],['can he see us'],"[['hey', 'can', 'he', 'see', 'us']]","[['can', 'he', 'see', 'us']]"
He's killed my mama.,He killed my mom.,Not Hallucination,he is killed my mama,he killed my mom,['he is killed my mama'],['he killed my mom'],"[['he', 'is', 'killed', 'my', 'mama']]","[['he', 'killed', 'my', 'mom']]"
"Thanks, rick.","Thank you, Rick.",Not Hallucination,thanks rick,thank you rick,['thanks rick'],['thank you rick'],"[['thanks', 'rick']]","[['thank', 'you', 'rick']]"
"Morning, chuck.","Good morning, Chuck.",Not Hallucination,morning chuck,good morning chuck,['morning chuck'],['good morning chuck'],"[['morning', 'chuck']]","[['good', 'morning', 'chuck']]"
You're a slave.,You're a slave.,Not Hallucination,you are a slave,you are a slave,['you are a slave'],['you are a slave'],"[['you', 'are', 'a', 'slave']]","[['you', 'are', 'a', 'slave']]"
Jor-E-I.,Jor-EI.,Not Hallucination,jorei,jorei,['jorei'],['jorei'],[['jorei']],[['jorei']]
"Thanks, wayne.","Thank you, Wayne.",Not Hallucination,thanks wayne,thank you wayne,['thanks wayne'],['thank you wayne'],"[['thanks', 'wayne']]","[['thank', 'you', 'wayne']]"
"Yea, he's alive.","Yeah, he's alive.",Not Hallucination,yea he is alive,yeah he is alive,['yea he is alive'],['yeah he is alive'],"[['yea', 'he', 'is', 'alive']]","[['yeah', 'he', 'is', 'alive']]"
Where's audrey?,Where's Audrey?,Not Hallucination,where is audrey,where is audrey,['where is audrey'],['where is audrey'],"[['where', 'is', 'audrey']]","[['where', 'is', 'audrey']]"
Her name's Amy.,Her name's Amy.,Not Hallucination,her names amy,her names amy,['her names amy'],['her names amy'],"[['her', 'names', 'amy']]","[['her', 'names', 'amy']]"
I'm her counsel.,I'm her attorney.,Not Hallucination,i am her counsel,i am her attorney,['i am her counsel'],['i am her attorney'],"[['i', 'am', 'her', 'counsel']]","[['i', 'am', 'her', 'attorney']]"
He's got a granddaughter,He's got a daughter.,Not Hallucination,he is got a granddaughter,he is got a daughter,['he is got a granddaughter'],['he is got a daughter'],"[['he', 'is', 'got', 'a', 'granddaughter']]","[['he', 'is', 'got', 'a', 'daughter']]"
Wh-where's Amy?,Where's Amy?,Not Hallucination,whwhere is amy,where is amy,['whwhere is amy'],['where is amy'],"[['whwhere', 'is', 'amy']]","[['where', 'is', 'amy']]"
We've got to tell 'em.,We have to tell them.,Not Hallucination,we have got to tell them,we have to tell them,['we have got to tell them'],['we have to tell them'],"[['we', 'have', 'got', 'to', 'tell', 'them']]","[['we', 'have', 'to', 'tell', 'them']]"
I-I don't want to be your friend.,I don't wanna be your friend.,Not Hallucination,ii do not want to be your friend,i do not want to be your friend,['ii do not want to be your friend'],['i do not want to be your friend'],"[['ii', 'do', 'not', 'want', 'to', 'be', 'your', 'friend']]","[['i', 'do', 'not', 'want', 'to', 'be', 'your', 'friend']]"
Where's ethani?,Where's Ethan?,Hallucination,where is ethani,where is ethan,['where is ethani'],['where is ethan'],"[['where', 'is', 'ethani']]","[['where', 'is', 'ethan']]"
"Hey, oz.","Hey, Oz.",Not Hallucination,hey oz,hey oz,['hey oz'],['hey oz'],"[['hey', 'oz']]","[['hey', 'oz']]"
They've got my daughters.,They've got my daughter.,Hallucination,they have got my daughters,they have got my daughter,['they have got my daughters'],['they have got my daughter'],"[['they', 'have', 'got', 'my', 'daughters']]","[['they', 'have', 'got', 'my', 'daughter']]"
But we ain't got nothin '.,But we have no money.,Hallucination,but we are not got nothin ,but we have no money,['but we are not got nothin'],['but we have no money'],"[['but', 'we', 'are', 'not', 'got', 'nothin']]","[['but', 'we', 'have', 'no', 'money']]"
Prodigal son of mine.,Prodigal son.,Hallucination,prodigal son of mine,prodigal son,['prodigal son of mine'],['prodigal son'],"[['prodigal', 'son', 'of', 'mine']]","[['prodigal', 'son']]"
Fifty-footer.,50 meters.,Hallucination,fiftyfooter,50 meters,['fiftyfooter'],['50 meters'],[['fiftyfooter']],"[['50', 'meters']]"
"Thanks, ⁇ .","Thank you, Joyce.",Hallucination,thanks  ,thank you joyce,['thanks'],['thank you joyce'],[['thanks']],"[['thank', 'you', 'joyce']]"
She's a princess.,She's a princess.,Not Hallucination,she is a princess,she is a princess,['she is a princess'],['she is a princess'],"[['she', 'is', 'a', 'princess']]","[['she', 'is', 'a', 'princess']]"
"Thank you, Bruce.","Thank you, Bruce.",Not Hallucination,thank you bruce,thank you bruce,['thank you bruce'],['thank you bruce'],"[['thank', 'you', 'bruce']]","[['thank', 'you', 'bruce']]"
Where's the king?,Where's the king?,Not Hallucination,where is the king,where is the king,['where is the king'],['where is the king'],"[['where', 'is', 'the', 'king']]","[['where', 'is', 'the', 'king']]"
