hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
I worked as a teacher for 15 years.,I worked as a teacher for fifteen years.,Not Hallucination,i worked as a teacher for 15 years,i worked as a teacher for fifteen years,['i worked as a teacher for 15 years'],['i worked as a teacher for fifteen years'],"[['i', 'worked', 'as', 'a', 'teacher', 'for', '15', 'years']]","[['i', 'worked', 'as', 'a', 'teacher', 'for', 'fifteen', 'years']]"
I don't want to drink your tea.,I do not want to drink your tea.,Not Hallucination,i do not want to drink your tea,i do not want to drink your tea,['i do not want to drink your tea'],['i do not want to drink your tea'],"[['i', 'do', 'not', 'want', 'to', 'drink', 'your', 'tea']]","[['i', 'do', 'not', 'want', 'to', 'drink', 'your', 'tea']]"
Tom didn't have to fool Mary.,Tom shouldn't lie to Mary.,Hallucination,tom did not have to fool mary,tom should not lie to mary,['tom did not have to fool mary'],['tom should not lie to mary'],"[['tom', 'did', 'not', 'have', 'to', 'fool', 'mary']]","[['tom', 'should', 'not', 'lie', 'to', 'mary']]"
You're sitting on my chair.,You're sitting in my chair.,Not Hallucination,you are sitting on my chair,you are sitting in my chair,['you are sitting on my chair'],['you are sitting in my chair'],"[['you', 'are', 'sitting', 'on', 'my', 'chair']]","[['you', 'are', 'sitting', 'in', 'my', 'chair']]"
"Yeah, it's mine.",Yes it's mine.,Not Hallucination,yeah it is mine,yes it is mine,['yeah it is mine'],['yes it is mine'],"[['yeah', 'it', 'is', 'mine']]","[['yes', 'it', 'is', 'mine']]"
I'm not gonna just give you this.,I'm not just going to give it to you.,Hallucination,i am not going to just give you this,i am not just going to give it to you,['i am not going to just give you this'],['i am not just going to give it to you'],"[['i', 'am', 'not', 'going', 'to', 'just', 'give', 'you', 'this']]","[['i', 'am', 'not', 'just', 'going', 'to', 'give', 'it', 'to', 'you']]"
Fuck the world!,Fuck the universe.,Hallucination,fuck the world,fuck the universe,['fuck the world'],['fuck the universe'],"[['fuck', 'the', 'world']]","[['fuck', 'the', 'universe']]"
Tom uncensoredly expressed himself.,Tom was cursing.,Hallucination,tom uncensoredly expressed himself,tom was cursing,['tom uncensoredly expressed himself'],['tom was cursing'],"[['tom', 'uncensoredly', 'expressed', 'himself']]","[['tom', 'was', 'cursing']]"
I thought you were pregnant.,I thought you were pregnant.,Not Hallucination,i thought you were pregnant,i thought you were pregnant,['i thought you were pregnant'],['i thought you were pregnant'],"[['i', 'thought', 'you', 'were', 'pregnant']]","[['i', 'thought', 'you', 'were', 'pregnant']]"
You have to stay in shape.,You have to stay fit.,Not Hallucination,you have to stay in shape,you have to stay fit,['you have to stay in shape'],['you have to stay fit'],"[['you', 'have', 'to', 'stay', 'in', 'shape']]","[['you', 'have', 'to', 'stay', 'fit']]"
I've got this for you.,I baked it for you.,Hallucination,i have got this for you,i baked it for you,['i have got this for you'],['i baked it for you'],"[['i', 'have', 'got', 'this', 'for', 'you']]","[['i', 'baked', 'it', 'for', 'you']]"
Why don't you think so?,Why don't you feel that way?,Hallucination,why do not you think so,why do not you feel that way,['why do not you think so'],['why do not you feel that way'],"[['why', 'do', 'not', 'you', 'think', 'so']]","[['why', 'do', 'not', 'you', 'feel', 'that', 'way']]"
"I've got a time ago, while you've got a few times ago.",Tom's windows were open a while ago. They're closed now.,Hallucination,i have got a time ago while you have got a few times ago,toms windows were open a while ago they are closed now,['i have got a time ago while you have got a few times ago'],['toms windows were open a while ago they are closed now'],"[['i', 'have', 'got', 'a', 'time', 'ago', 'while', 'you', 'have', 'got', 'a', 'few', 'times', 'ago']]","[['toms', 'windows', 'were', 'open', 'a', 'while', 'ago', 'they', 'are', 'closed', 'now']]"
It's never happened before.,It had never happened before.,Not Hallucination,it is never happened before,it had never happened before,['it is never happened before'],['it had never happened before'],"[['it', 'is', 'never', 'happened', 'before']]","[['it', 'had', 'never', 'happened', 'before']]"
There are few people like you.,There aren't many people like you.,Not Hallucination,there are few people like you,there are not many people like you,['there are few people like you'],['there are not many people like you'],"[['there', 'are', 'few', 'people', 'like', 'you']]","[['there', 'are', 'not', 'many', 'people', 'like', 'you']]"
Tom wants to be an interpreter.,Tom wants to be a translator.,Not Hallucination,tom wants to be an interpreter,tom wants to be a translator,['tom wants to be an interpreter'],['tom wants to be a translator'],"[['tom', 'wants', 'to', 'be', 'an', 'interpreter']]","[['tom', 'wants', 'to', 'be', 'a', 'translator']]"
I don't care about your past.,I don't care about your past.,Not Hallucination,i do not care about your past,i do not care about your past,['i do not care about your past'],['i do not care about your past'],"[['i', 'do', 'not', 'care', 'about', 'your', 'past']]","[['i', 'do', 'not', 'care', 'about', 'your', 'past']]"
That's where I'll have to agree with Tom.,I've got to agree with Tom here.,Hallucination,that is where i will have to agree with tom,i have got to agree with tom here,['that is where i will have to agree with tom'],['i have got to agree with tom here'],"[['that', 'is', 'where', 'i', 'will', 'have', 'to', 'agree', 'with', 'tom']]","[['i', 'have', 'got', 'to', 'agree', 'with', 'tom', 'here']]"
Tom is worried about his son.,Tom is worried about his son.,Not Hallucination,tom is worried about his son,tom is worried about his son,['tom is worried about his son'],['tom is worried about his son'],"[['tom', 'is', 'worried', 'about', 'his', 'son']]","[['tom', 'is', 'worried', 'about', 'his', 'son']]"
Tom thinks we shouldn't have done that.,"According to Tom, we shouldn't have done that.",Not Hallucination,tom thinks we should not have done that,according to tom we should not have done that,['tom thinks we should not have done that'],['according to tom we should not have done that'],"[['tom', 'thinks', 'we', 'should', 'not', 'have', 'done', 'that']]","[['according', 'to', 'tom', 'we', 'should', 'not', 'have', 'done', 'that']]"
"When it comes to cooking, no one compares to Mary.","When it comes to cooking, no one can equal Mary.",Not Hallucination,when it comes to cooking no one compares to mary,when it comes to cooking no one can equal mary,['when it comes to cooking no one compares to mary'],['when it comes to cooking no one can equal mary'],"[['when', 'it', 'comes', 'to', 'cooking', 'no', 'one', 'compares', 'to', 'mary']]","[['when', 'it', 'comes', 'to', 'cooking', 'no', 'one', 'can', 'equal', 'mary']]"
I haven't heard such an unspeakable statement in a long time.,This is the most outlandish claim I've heard in a long time.,Hallucination,i have not heard such an unspeakable statement in a long time,this is the most outlandish claim i have heard in a long time,['i have not heard such an unspeakable statement in a long time'],['this is the most outlandish claim i have heard in a long time'],"[['i', 'have', 'not', 'heard', 'such', 'an', 'unspeakable', 'statement', 'in', 'a', 'long', 'time']]","[['this', 'is', 'the', 'most', 'outlandish', 'claim', 'i', 'have', 'heard', 'in', 'a', 'long', 'time']]"
I never said she stole my money.,I never said she stole my money.,Not Hallucination,i never said she stole my money,i never said she stole my money,['i never said she stole my money'],['i never said she stole my money'],"[['i', 'never', 'said', 'she', 'stole', 'my', 'money']]","[['i', 'never', 'said', 'she', 'stole', 'my', 'money']]"
You have to stop her.,You have to stop her.,Not Hallucination,you have to stop her,you have to stop her,['you have to stop her'],['you have to stop her'],"[['you', 'have', 'to', 'stop', 'her']]","[['you', 'have', 'to', 'stop', 'her']]"
This book has helped a lot of people lose weight.,This book has helped many people lose weight.,Not Hallucination,this book has helped a lot of people lose weight,this book has helped many people lose weight,['this book has helped a lot of people lose weight'],['this book has helped many people lose weight'],"[['this', 'book', 'has', 'helped', 'a', 'lot', 'of', 'people', 'lose', 'weight']]","[['this', 'book', 'has', 'helped', 'many', 'people', 'lose', 'weight']]"
Crack is very addictive.,Crack is very addictive.,Not Hallucination,crack is very addictive,crack is very addictive,['crack is very addictive'],['crack is very addictive'],"[['crack', 'is', 'very', 'addictive']]","[['crack', 'is', 'very', 'addictive']]"
Tom always buys the cheapest.,Tom always buys whatever's the cheapest.,Not Hallucination,tom always buys the cheapest,tom always buys whatevers the cheapest,['tom always buys the cheapest'],['tom always buys whatevers the cheapest'],"[['tom', 'always', 'buys', 'the', 'cheapest']]","[['tom', 'always', 'buys', 'whatevers', 'the', 'cheapest']]"
That's the coat I want to buy.,This is the coat I want to buy.,Not Hallucination,that is the coat i want to buy,this is the coat i want to buy,['that is the coat i want to buy'],['this is the coat i want to buy'],"[['that', 'is', 'the', 'coat', 'i', 'want', 'to', 'buy']]","[['this', 'is', 'the', 'coat', 'i', 'want', 'to', 'buy']]"
I definitely need one of them.,I definitely need one of those.,Not Hallucination,i definitely need one of them,i definitely need one of those,['i definitely need one of them'],['i definitely need one of those'],"[['i', 'definitely', 'need', 'one', 'of', 'them']]","[['i', 'definitely', 'need', 'one', 'of', 'those']]"
Did anyone feed the dog?,Has anyone fed the dog?,Not Hallucination,did anyone feed the dog,has anyone fed the dog,['did anyone feed the dog'],['has anyone fed the dog'],"[['did', 'anyone', 'feed', 'the', 'dog']]","[['has', 'anyone', 'fed', 'the', 'dog']]"
Do you want to know what you want?,Do you want her to help you?,Hallucination,do you want to know what you want,do you want her to help you,['do you want to know what you want'],['do you want her to help you'],"[['do', 'you', 'want', 'to', 'know', 'what', 'you', 'want']]","[['do', 'you', 'want', 'her', 'to', 'help', 'you']]"
I saw a star today.,I saw a star today.,Not Hallucination,i saw a star today,i saw a star today,['i saw a star today'],['i saw a star today'],"[['i', 'saw', 'a', 'star', 'today']]","[['i', 'saw', 'a', 'star', 'today']]"
I hope she made a bunch of spaghetti.,I hope she's made lots of spaghetti.,Not Hallucination,i hope she made a bunch of spaghetti,i hope she is made lots of spaghetti,['i hope she made a bunch of spaghetti'],['i hope she is made lots of spaghetti'],"[['i', 'hope', 'she', 'made', 'a', 'bunch', 'of', 'spaghetti']]","[['i', 'hope', 'she', 'is', 'made', 'lots', 'of', 'spaghetti']]"
I bet I can do better than Tom.,I bet I can do better than Tom.,Not Hallucination,i bet i can do better than tom,i bet i can do better than tom,['i bet i can do better than tom'],['i bet i can do better than tom'],"[['i', 'bet', 'i', 'can', 'do', 'better', 'than', 'tom']]","[['i', 'bet', 'i', 'can', 'do', 'better', 'than', 'tom']]"
"As soon as she opened the door, the cat ran out.","As soon as she opened the door, a cat ran out.",Not Hallucination,as soon as she opened the door the cat ran out,as soon as she opened the door a cat ran out,['as soon as she opened the door the cat ran out'],['as soon as she opened the door a cat ran out'],"[['as', 'soon', 'as', 'she', 'opened', 'the', 'door', 'the', 'cat', 'ran', 'out']]","[['as', 'soon', 'as', 'she', 'opened', 'the', 'door', 'a', 'cat', 'ran', 'out']]"
Do you have anything you want to say to Tom?,Do you want to say anything to Tom?,Not Hallucination,do you have anything you want to say to tom,do you want to say anything to tom,['do you have anything you want to say to tom'],['do you want to say anything to tom'],"[['do', 'you', 'have', 'anything', 'you', 'want', 'to', 'say', 'to', 'tom']]","[['do', 'you', 'want', 'to', 'say', 'anything', 'to', 'tom']]"
Tom's a professional at work.,Tom is a professional in his business.,Not Hallucination,toms a professional at work,tom is a professional in his business,['toms a professional at work'],['tom is a professional in his business'],"[['toms', 'a', 'professional', 'at', 'work']]","[['tom', 'is', 'a', 'professional', 'in', 'his', 'business']]"
Tom went around three minutes.,It only took Tom about three minutes to do that.,Hallucination,tom went around three minutes,it only took tom about three minutes to do that,['tom went around three minutes'],['it only took tom about three minutes to do that'],"[['tom', 'went', 'around', 'three', 'minutes']]","[['it', 'only', 'took', 'tom', 'about', 'three', 'minutes', 'to', 'do', 'that']]"
